BIC - Goal,BIC,F1 Score,Accuracy,Precision,Recall,SHD,SLF,TLF
56.375316480065976,2346.3854203584906,0.22222222222222224,0.75,0.2,0.25,14,0.25,0.75
53.00323080198041,2343.013334680405,0.23529411764705882,0.7678571428571429,0.2222222222222222,0.25,13,0.25,0.75
49.55851246425891,2339.5686163426835,0.23529411764705882,0.7678571428571429,0.2222222222222222,0.25,13,0.25,0.625
39.91554738135028,2329.925651259775,0.2105263157894737,0.7321428571428571,0.18181818181818182,0.25,15,0.25,0.75
26.70941372983316,2316.719517608258,0.22222222222222224,0.75,0.2,0.25,14,0.25,0.625
20.773205021876038,2310.7833089003007,0.23529411764705882,0.7678571428571429,0.2222222222222222,0.25,13,0.25,0.625
20.773205021876038,2310.7833089003007,0.23529411764705882,0.7678571428571429,0.2222222222222222,0.25,13,0.25,0.625
20.773205021876038,2310.7833089003007,0.23529411764705882,0.7678571428571429,0.2222222222222222,0.25,13,0.25,0.625
20.773205021876038,2310.7833089003007,0.23529411764705882,0.7678571428571429,0.2222222222222222,0.25,13,0.25,0.625
20.773205021876038,2310.7833089003007,0.23529411764705882,0.7678571428571429,0.2222222222222222,0.25,13,0.25,0.625
