BIC - Goal,BIC,F1 Score,Accuracy,Precision,Recall,SHD,SLF,TLF
244.23253827827602,1178.8039664118262,0,0.8392857142857143,0.0,0.0,9,0.0,0.125
159.46730409771772,1094.0387322312679,0,0.8214285714285714,0.0,0.0,10,0.0,0.25
80.07688076867066,1014.6483089022208,0,0.8035714285714286,0.0,0.0,11,0.0,0.375
58.21925200774922,992.7906801412994,0,0.7857142857142857,0.0,0.0,12,0.0,0.5
41.06876213548594,975.6401902690361,0,0.7678571428571429,0.0,0.0,13,0.0,0.625
27.990803516518326,962.5622316500685,0,0.75,0.0,0.0,14,0.0,0.625
16.691123809676924,951.2625519432271,0.13333333333333333,0.7678571428571429,0.14285714285714285,0.125,13,0.125,0.75
8.837931661837956,943.4093597953881,0.125,0.75,0.125,0.125,14,0.125,0.875
2.3524689370492524,936.9238970705994,0.25,0.7857142857142857,0.25,0.25,12,0.25,0.875
-0.5664434149409772,934.0049847186092,0.375,0.8214285714285714,0.375,0.375,10,0.375,0.875
