BIC - Goal,BIC,F1 Score,Accuracy,Precision,Recall,SHD,SLF,TLF
29785.520743329485,152782.17374151433,0.10714285714285714,0.868421052631579,0.0967741935483871,0.12,50,0.12,0.24
23375.274956658803,146371.92795484365,0.07272727272727272,0.8657894736842106,0.06666666666666667,0.08,51,0.08,0.32
23375.274956658803,146371.92795484365,0.07272727272727272,0.8657894736842106,0.06666666666666667,0.08,51,0.08,0.32
23375.274956658803,146371.92795484365,0.07272727272727272,0.8657894736842106,0.06666666666666667,0.08,51,0.08,0.32
21696.93809949007,144693.59109767491,0.14035087719298245,0.8710526315789474,0.125,0.16,49,0.16,0.36
19591.88614656357,142588.5391447484,0.20689655172413793,0.8789473684210526,0.18181818181818182,0.24,46,0.24,0.36
17686.437695010885,140683.09069319573,0.1142857142857143,0.8368421052631579,0.08888888888888889,0.16,62,0.16,0.32
17686.437695010885,140683.09069319573,0.1142857142857143,0.8368421052631579,0.08888888888888889,0.16,62,0.16,0.32
16841.15298728837,139837.8059854732,0.1818181818181818,0.881578947368421,0.16666666666666666,0.2,45,0.2,0.36
15631.287046150916,138627.94004433576,0.30188679245283023,0.9026315789473685,0.2857142857142857,0.32,37,0.32,0.4
14270.246345682332,137266.89934386718,0.25,0.8894736842105263,0.22580645161290322,0.28,42,0.28,0.4
10867.28199638988,133863.93499457472,0.25925925925925924,0.8947368421052632,0.2413793103448276,0.28,40,0.28,0.48
10867.28199638988,133863.93499457472,0.25925925925925924,0.8947368421052632,0.2413793103448276,0.28,40,0.28,0.48
8188.709155709803,131185.36215389465,0.25806451612903225,0.8789473684210526,0.21621621621621623,0.32,46,0.32,0.48
8188.709155709803,131185.36215389465,0.25806451612903225,0.8789473684210526,0.21621621621621623,0.32,46,0.32,0.48
7752.70889300284,130749.36189118768,0.30769230769230765,0.9052631578947369,0.2962962962962963,0.32,36,0.32,0.48
7752.70889300284,130749.36189118768,0.30769230769230765,0.9052631578947369,0.2962962962962963,0.32,36,0.32,0.48
7752.70889300284,130749.36189118768,0.30769230769230765,0.9052631578947369,0.2962962962962963,0.32,36,0.32,0.48
7186.02485937842,130182.67785756326,0.32,0.9105263157894737,0.32,0.32,34,0.32,0.48
6763.220893748861,129759.8738919337,0.28,0.9052631578947369,0.28,0.28,36,0.28,0.52
6553.709044093441,129550.36204227828,0.34615384615384615,0.9105263157894737,0.3333333333333333,0.36,34,0.36,0.52
5939.316378657459,128935.9693768423,0.36,0.9157894736842105,0.36,0.36,32,0.36,0.52
5762.927030552033,128759.58002873688,0.3214285714285714,0.9,0.2903225806451613,0.36,38,0.36,0.52
5762.927030552033,128759.58002873688,0.3214285714285714,0.9,0.2903225806451613,0.36,38,0.36,0.52
5762.927030552033,128759.58002873688,0.3214285714285714,0.9,0.2903225806451613,0.36,38,0.36,0.52
5416.1633266884455,128412.81632487329,0.2909090909090909,0.8973684210526316,0.26666666666666666,0.32,39,0.32,0.56
4694.523441152371,127691.17643933721,0.4230769230769231,0.9210526315789473,0.4074074074074074,0.44,30,0.44,0.6
4694.523441152371,127691.17643933721,0.4230769230769231,0.9210526315789473,0.4074074074074074,0.44,30,0.44,0.6
