child,2,0.01,0.01,0.95,0.95,5,0.01,4681.858053684235,122947.0275512059,110000,False,False,123201.76087273548,26.684900000000003,0.84,1.0
child,2,0.01,0.01,0.95,0.95,5,0.01,1223.6352257728577,122765.39941258794,27963,False,True,122765.39941258794,22.1267,0.84,1.0
child,2,0.01,0.01,0.95,0.95,5,0.01,4890.911565065384,123303.68410798608,110014,False,False,125138.57796385349,32.133,0.76,0.96
child,2,0.01,0.01,0.95,0.95,5,0.01,5060.981734991074,122714.22768055709,110012,False,False,123265.77704723348,29.7191,0.68,1.0
child,2,0.01,0.01,0.95,0.95,5,0.01,1901.8628509044647,122770.73751671764,42298,False,True,122770.7375167176,27.40905,0.92,1.0
child,2,0.01,0.01,0.95,0.95,5,0.01,4985.063400745392,122877.19132771525,110010,False,False,123017.63276251488,25.38935,0.84,1.0
child,2,0.01,0.01,0.95,0.95,5,0.01,5149.736835479736,122820.30803507206,110006,False,False,124698.88778698626,36.6764,0.8,1.0
child,2,0.01,0.01,0.95,0.95,5,0.01,4754.644832372665,122802.67876108583,110012,False,False,122853.60539852772,23.1447,0.76,1.0
child,2,0.01,0.01,0.95,0.95,5,0.01,1995.0897054672241,122794.91863486632,46692,False,True,122794.9186348663,24.94755,0.88,1.0
child,2,0.01,0.01,0.95,0.95,5,0.01,4688.762316465378,123174.16032616557,110001,False,False,123501.67725824594,23.46405,0.72,0.96
child,2,0.01,0.01,0.95,0.95,5,0.01,4891.156018257141,123048.08268741338,110013,False,False,123582.10070670253,34.43755,0.68,1.0
child,2,0.01,0.01,0.95,0.95,5,0.01,4701.3489818573,123169.10050813803,110008,False,False,123335.00879586584,32.5494,0.88,1.0
child,2,0.01,0.01,0.95,0.95,5,0.01,4733.486350774765,122915.35452069105,110023,False,False,123316.81325180593,24.980900000000002,0.72,0.96
child,2,0.01,0.01,0.95,0.95,5,0.01,4656.573524236679,122576.10519067716,110001,False,False,122611.0822970809,26.01865,0.88,1.0
child,2,0.01,0.01,0.95,0.95,5,0.01,4758.784896373749,123038.73057910633,110005,False,False,123338.81213080355,27.99295,0.64,1.0
child,2,0.01,0.01,0.95,0.95,5,0.01,4694.85919213295,122907.89927108632,110006,False,False,123696.391443708,32.29135,0.8,1.0
child,2,0.01,0.01,0.95,0.95,5,0.01,4705.0159957408905,122314.80844385212,110015,False,False,122504.12388295234,25.421200000000002,0.84,1.0
child,2,0.01,0.01,0.95,0.95,5,0.01,4904.548837423325,122468.47661077502,110006,False,False,123648.46066828597,39.79995,0.8,0.96
child,2,0.01,0.01,0.95,0.95,5,0.01,4878.454056739807,123242.83457595723,110000,False,False,123675.85571068304,27.15245,0.8,0.96
child,2,0.01,0.01,0.95,0.95,5,0.01,3426.334483861923,122564.44774240686,77176,False,True,122564.44774240686,25.13905,0.88,1.0
