BIC - Goal,BIC,F1 Score,Accuracy,Precision,Recall,SHD,SLF,TLF
23116.173590774197,146031.52811146525,0.13114754098360656,0.8605263157894737,0.1111111111111111,0.16,53,0.16,0.28
19901.991509955886,142817.34603064694,0.06779661016949153,0.8552631578947368,0.058823529411764705,0.08,55,0.08,0.32
19901.991509955886,142817.34603064694,0.06779661016949153,0.8552631578947368,0.058823529411764705,0.08,55,0.08,0.32
16767.069634457366,139682.42415514842,0.07272727272727272,0.8657894736842106,0.06666666666666667,0.08,51,0.08,0.44
16244.8037958996,139160.15831659065,0.11111111111111112,0.8736842105263158,0.10344827586206896,0.12,48,0.12,0.44
12522.498850598335,135437.85337128938,0.13559322033898305,0.8657894736842106,0.11764705882352941,0.16,51,0.16,0.44
12522.498850598335,135437.85337128938,0.13559322033898305,0.8657894736842106,0.11764705882352941,0.16,51,0.16,0.44
10069.018133022983,132984.37265371403,0.20689655172413793,0.8789473684210526,0.18181818181818182,0.24,46,0.24,0.52
10038.649564069856,132954.0040847609,0.21428571428571427,0.8842105263157894,0.1935483870967742,0.24,44,0.24,0.52
9604.56937770445,132519.9238983955,0.21052631578947367,0.881578947368421,0.1875,0.24,45,0.24,0.52
8151.492160408452,131066.8466810995,0.27450980392156865,0.9026315789473685,0.2692307692307692,0.28,37,0.28,0.56
8151.492160408452,131066.8466810995,0.27450980392156865,0.9026315789473685,0.2692307692307692,0.28,37,0.28,0.56
7663.720145823769,130579.07466651482,0.3157894736842105,0.8973684210526316,0.28125,0.36,39,0.36,0.68
7495.00098016714,130410.35550085819,0.3214285714285714,0.9,0.2903225806451613,0.36,38,0.36,0.64
5367.531837694434,128282.88635838548,0.37931034482758624,0.9052631578947369,0.3333333333333333,0.44,36,0.44,0.68
5367.531837694434,128282.88635838548,0.37931034482758624,0.9052631578947369,0.3333333333333333,0.44,36,0.44,0.68
5239.592679273788,128154.94719996484,0.3928571428571428,0.9105263157894737,0.3548387096774194,0.44,34,0.44,0.68
5239.592679273788,128154.94719996484,0.3928571428571428,0.9105263157894737,0.3548387096774194,0.44,34,0.44,0.68
4449.373555520622,127364.72807621167,0.42105263157894735,0.9131578947368421,0.375,0.48,33,0.48,0.72
4328.455837318979,127243.81035801003,0.4363636363636364,0.9184210526315789,0.4,0.48,31,0.48,0.72
4294.7308250779315,127210.08534576898,0.4444444444444445,0.9210526315789473,0.41379310344827586,0.48,30,0.48,0.72
4221.73951720148,127137.09403789253,0.4444444444444445,0.9210526315789473,0.41379310344827586,0.48,30,0.48,0.72
4100.870535908471,127016.22505659952,0.4363636363636364,0.9184210526315789,0.4,0.48,31,0.48,0.76
4075.712798583554,126991.0673192746,0.4444444444444445,0.9210526315789473,0.41379310344827586,0.48,30,0.48,0.76
4052.649379577051,126968.0039002681,0.4444444444444445,0.9210526315789473,0.41379310344827586,0.48,30,0.48,0.76
3846.7629452437104,126762.11746593476,0.44827586206896547,0.9157894736842105,0.3939393939393939,0.52,32,0.52,0.76
3587.3852323558385,126502.73975304689,0.49056603773584906,0.9289473684210526,0.4642857142857143,0.52,27,0.52,0.8
3420.467230917493,126335.82175160854,0.48148148148148145,0.9263157894736842,0.4482758620689655,0.52,28,0.52,0.8
3372.7824466513703,126288.13696734242,0.49056603773584906,0.9289473684210526,0.4642857142857143,0.52,27,0.52,0.8
3372.7824466513703,126288.13696734242,0.49056603773584906,0.9289473684210526,0.4642857142857143,0.52,27,0.52,0.8
3372.7824466513703,126288.13696734242,0.49056603773584906,0.9289473684210526,0.4642857142857143,0.52,27,0.52,0.8
3372.7824466513703,126288.13696734242,0.49056603773584906,0.9289473684210526,0.4642857142857143,0.52,27,0.52,0.8
3372.7824466513703,126288.13696734242,0.49056603773584906,0.9289473684210526,0.4642857142857143,0.52,27,0.52,0.8
3372.7824466513703,126288.13696734242,0.49056603773584906,0.9289473684210526,0.4642857142857143,0.52,27,0.52,0.8
3366.373736222784,126281.72825691383,0.5,0.9315789473684211,0.48148148148148145,0.52,26,0.52,0.8
3366.373736222784,126281.72825691383,0.5,0.9315789473684211,0.48148148148148145,0.52,26,0.52,0.8
3366.373736222784,126281.72825691383,0.5,0.9315789473684211,0.48148148148148145,0.52,26,0.52,0.8
3366.373736222784,126281.72825691383,0.5,0.9315789473684211,0.48148148148148145,0.52,26,0.52,0.8
3366.373736222784,126281.72825691383,0.5,0.9315789473684211,0.48148148148148145,0.52,26,0.52,0.8
3366.373736222784,126281.72825691383,0.5,0.9315789473684211,0.48148148148148145,0.52,26,0.52,0.8
3366.373736222784,126281.72825691383,0.5,0.9315789473684211,0.48148148148148145,0.52,26,0.52,0.8
