asia,1000,100,0.5,1.0,40,10,0.1,False,False,2297.3350642791797,0.5315,0.5,0.625,0.5333333333333333,0.625
asia,1000,100,0.5,1.0,40,10,0.1,False,False,2298.994178234968,0.5495,0.375,0.625,0.375,0.625
asia,1000,100,0.5,1.0,40,10,0.1,False,False,2301.667420391492,0.516,0.25,0.625,0.25,0.625
asia,1000,100,0.5,1.0,40,10,0.1,False,False,2282.746242352344,0.513,0.5,0.75,0.5333333333333333,0.75
asia,1000,100,0.5,1.0,40,10,0.1,False,False,2321.0094436087566,0.556,0.5,0.5,0.5333333333333333,0.5
asia,1000,100,0.5,1.0,40,10,0.1,False,False,2301.7319904858573,0.54,0.5,0.625,0.5,0.625
asia,1000,100,0.5,1.0,40,10,0.1,False,False,2297.3350642791797,0.5315,0.5,0.625,0.5333333333333333,0.625
asia,1000,100,0.5,1.0,40,10,0.1,False,False,2304.7021964407036,0.5355,0.375,0.5,0.375,0.5
asia,1000,100,0.5,1.0,40,10,0.1,False,False,2312.1461944791595,0.54,0.375,0.5,0.35294117647058826,0.5
asia,1000,100,0.5,1.0,40,10,0.1,False,False,2294.824235206875,0.5385,0.625,0.75,0.6666666666666666,0.75
asia,1000,100,0.5,1.0,40,10,0.1,False,False,2289.653997631326,0.5145,0.375,0.625,0.375,0.625
asia,1000,100,0.5,1.0,40,10,0.1,False,False,2342.6234370151083,0.5445,0.375,0.5,0.39999999999999997,0.5
asia,1000,100,0.5,1.0,40,10,0.1,False,False,2289.653997631326,0.5145,0.375,0.625,0.375,0.625
asia,1000,100,0.5,1.0,40,10,0.1,False,False,2294.824235206875,0.5385,0.625,0.75,0.6666666666666666,0.75
asia,1000,100,0.5,1.0,40,10,0.1,False,False,2281.7720663190407,0.547,0.625,0.875,0.625,0.875
asia,1000,100,0.5,1.0,40,10,0.1,False,False,2317.825625981955,0.539,0.25,0.375,0.25,0.375
asia,1000,100,0.5,1.0,40,10,0.1,False,False,2294.824235206875,0.5385,0.625,0.75,0.6666666666666666,0.75
asia,1000,100,0.5,1.0,40,10,0.1,False,False,2311.2931610922988,0.54,0.375,0.625,0.39999999999999997,0.625
asia,1000,100,0.5,1.0,40,10,0.1,False,False,2297.7944411617214,0.534,0.5,0.625,0.5333333333333333,0.625
asia,1000,100,0.5,1.0,40,10,0.1,False,False,2291.6607414011996,0.516,0.25,0.5,0.25,0.5
