BIC - Goal,BIC,F1 Score,Accuracy,Precision,Recall,SHD,SLF,TLF
24.09284528689159,989.9789779236378,0.25,0.7857142857142857,0.25,0.25,12,0.25,0.5
13.849979031922999,979.7361116686692,0.375,0.8214285714285714,0.375,0.375,10,0.375,0.75
4.681413075829823,970.567545712576,0.5,0.8571428571428571,0.5,0.5,8,0.5,0.625
4.500923715348222,970.3870563520944,0.5,0.8571428571428571,0.5,0.5,8,0.5,0.625
2.588044379441044,968.4741770161872,0.5,0.8571428571428571,0.5,0.5,8,0.5,0.75
2.588044379441044,968.4741770161872,0.5,0.8571428571428571,0.5,0.5,8,0.5,0.75
2.588044379441044,968.4741770161872,0.5,0.8571428571428571,0.5,0.5,8,0.5,0.75
2.5880443794408166,968.474177016187,0.5,0.8571428571428571,0.5,0.5,8,0.5,0.75
2.5880443794408166,968.474177016187,0.5,0.8571428571428571,0.5,0.5,8,0.5,0.75
0.5204869895287629,966.406619626275,0.6666666666666666,0.9107142857142857,0.7142857142857143,0.625,5,0.625,0.75
-2.62426426140064,963.2618683753456,0.7999999999999999,0.9464285714285714,0.8571428571428571,0.75,3,0.75,0.875
