insurance,3,658925.8764502185,0.1,0.7,100,True,True,1.2,False,190000,69753.39992070198,661580.2618072573,57.053560000000004,0.5961538461538461,0.7884615384615384
insurance,3,658093.0184841295,0.1,0.7,100,True,True,1.2,False,190000,70415.22425293922,659244.2994967612,49.23939000000001,0.6730769230769231,0.8461538461538461
insurance,3,659465.5352849439,0.1,0.7,100,True,True,1.2,False,190000,69050.20545768738,664152.1496428228,49.01673,0.5384615384615384,0.7692307692307693
insurance,3,658635.2394323193,0.1,0.7,100,True,True,1.2,False,190000,68476.11214256287,664660.5740518385,54.59637000000001,0.5,0.7307692307692307
insurance,3,658357.3577344975,0.1,0.7,100,True,True,1.2,False,190000,61936.537910461426,660578.5601363424,51.215990000000005,0.6153846153846154,0.7884615384615384
insurance,3,658340.525490138,0.1,0.7,100,True,True,1.2,False,190000,65193.8863697052,666074.174001054,55.466860000000004,0.4230769230769231,0.7307692307692307
insurance,3,658227.883003503,0.1,0.7,100,True,True,1.2,False,190000,63630.069925785065,662513.3842788447,49.335350000000005,0.4230769230769231,0.7115384615384616
insurance,3,657969.4041469272,0.1,0.7,100,True,True,1.2,False,190000,62151.08124780655,659341.3503747039,51.55122,0.6923076923076923,0.8269230769230769
insurance,3,659520.5089948268,0.1,0.7,100,True,True,1.2,False,190000,62375.9827811718,659539.3989968079,51.29325000000001,0.6923076923076923,0.8653846153846154
insurance,3,659094.347023097,0.1,0.7,100,True,True,1.2,False,190000,64023.39033508301,665514.3026187773,59.0048,0.5384615384615384,0.8269230769230769
insurance,3,659095.1140195064,0.1,0.7,100,True,True,1.2,False,190000,64730.52631378174,665614.8078761727,59.30825000000001,0.5769230769230769,0.8076923076923077
