asia,1,0.01,0.01,0.95,0.95,5,0.01,68.69040989875793,915.7019895755311,3599,True,True,913.9760562042878,0.56875,0.75,0.75
asia,1,0.01,0.01,0.95,0.95,5,0.01,45.61206912994385,957.326426656125,2382,True,True,957.3264266561252,0.7575000000000001,0.75,1.0
asia,1,0.01,0.01,0.95,0.95,5,0.01,22.800185203552246,901.4714698478472,1228,True,True,900.0162389265541,0.74625,0.625,0.75
asia,1,0.01,0.01,0.95,0.95,5,0.01,43.594741106033325,989.2624512144976,2208,True,True,988.4553184052404,0.60375,0.75,0.875
asia,1,0.01,0.01,0.95,0.95,5,0.01,16.914292335510254,905.7921496674136,933,True,True,901.5088185374088,0.9087500000000001,0.875,0.875
asia,1,0.01,0.01,0.95,0.95,5,0.01,51.19241499900818,932.3874561637235,2786,True,True,932.3874561637235,0.82125,0.875,1.0
asia,1,0.01,0.01,0.95,0.95,5,0.01,12.228903532028198,922.4722567864944,657,True,True,921.6964370119262,1.4275,0.375,0.75
asia,1,0.01,0.01,0.95,0.95,5,0.01,5.753586053848267,975.0321755753496,302,True,True,975.0321755753496,0.615,0.875,1.0
asia,1,0.01,0.01,0.95,0.95,5,0.01,12.020703792572021,950.0169875001834,618,True,True,948.5825139971888,0.63,0.625,0.75
asia,1,0.01,0.01,0.95,0.95,5,0.01,46.39463663101196,943.5903620011126,2373,True,True,942.9085563179888,0.8225,0.75,0.875
asia,1,0.01,0.01,0.95,0.95,5,0.01,64.0499095916748,890.6697911608226,3129,True,True,889.3234920895597,0.78,0.75,0.875
asia,1,0.01,0.01,0.95,0.95,5,0.01,28.951276540756226,942.7658823139734,1388,True,True,942.2985429242792,1.0050000000000001,0.875,0.875
asia,1,0.01,0.01,0.95,0.95,5,0.01,236.97218704223633,971.1594887783723,12080,True,False,971.2863892904833,0.8150000000000001,0.625,0.75
asia,1,0.01,0.01,0.95,0.95,5,0.01,25.346010208129883,914.3456310527647,1396,True,True,912.7756890784915,0.75,0.75,0.875
asia,1,0.01,0.01,0.95,0.95,5,0.01,24.066133975982666,940.0299886904835,1310,True,True,939.1186075891547,0.9575,0.125,0.625
asia,1,0.01,0.01,0.95,0.95,5,0.01,58.15005826950073,956.0057445529359,3117,True,True,955.2296056152172,0.7525000000000001,0.75,0.75
asia,1,0.01,0.01,0.95,0.95,5,0.01,75.32042670249939,888.4923705609916,3770,True,True,887.6003712088072,0.94125,0.875,0.875
asia,1,0.01,0.01,0.95,0.95,5,0.01,31.042678833007812,949.370060093372,1605,True,True,948.4271083635026,0.74125,0.5,0.875
asia,1,0.01,0.01,0.95,0.95,5,0.01,33.73668456077576,926.7564254788557,1768,True,True,926.2754068190884,0.78125,0.875,0.875
asia,1,0.01,0.01,0.95,0.95,5,0.01,18.909127235412598,968.5549259626947,969,True,True,968.3127415628826,0.59,0.75,0.875
