child,3,305877.09343010077,100,True,True,False,150071,8378.197227239609,305987.3879653553,28.131700000000002,0.72,1.0
child,3,305944.3108344098,100,True,True,False,150131,8965.511548042297,306002.03417145216,23.15528,0.8,1.0
child,3,305303.31418392004,100,True,True,False,150008,8940.171060800552,305361.7270575799,23.050440000000002,0.76,1.0
child,3,305458.01595140365,100,True,True,False,150070,8927.602762460709,306112.6920318003,33.647600000000004,0.64,1.0
child,3,305343.8655531999,100,True,True,False,150039,8901.525813817978,305454.23548812204,25.689480000000003,0.84,1.0
child,3,305433.0626641962,100,True,True,False,150048,8908.091665267944,305818.78573986224,24.586180000000002,0.72,1.0
child,3,305618.56316087954,100,True,True,False,150018,8601.843566179276,305730.94864602905,28.113780000000002,0.76,1.0
child,3,306524.50138841534,100,True,True,False,150024,8783.777616500854,306635.6142718876,27.429700000000004,0.8,1.0
child,3,305844.91689562204,100,True,True,False,150161,8812.974111318588,305958.7122152539,28.186840000000004,0.76,1.0
child,3,305266.22775972955,100,True,True,True,49478,2904.815627336502,305266.2277597296,27.39338,0.92,1.0
child,3,305696.0167746212,100,True,True,False,150061,8518.349973917007,305801.78828299255,26.851660000000003,0.8,1.0
child,3,305911.94264294987,100,True,True,False,150081,8576.744737625122,306247.9622143206,27.70362,0.8,1.0
child,3,305321.89009386377,100,True,True,True,37830,2197.559336423874,305321.89009386377,26.983200000000004,0.92,1.0
child,3,305565.7003834304,100,True,True,False,150168,8562.882985115051,305674.34580721386,25.87618,0.8,1.0
child,3,305600.4162708963,100,True,True,False,150120,8468.709287643433,305755.3442109,31.130200000000002,0.76,1.0
child,3,305584.97308838455,100,True,True,True,107071,6093.052219629288,305584.97308838443,25.081100000000003,0.88,1.0
child,3,304918.6456399957,100,True,True,False,150085,8627.499248504639,305132.72224218753,32.49978,0.84,1.0
child,3,305700.0639032514,100,True,True,True,68680,3979.0933141708374,305700.06390325143,25.367160000000002,0.88,1.0
child,3,305164.5928858472,100,True,True,False,150068,8956.425395011902,305538.49724038015,26.805080000000004,0.8,1.0
child,3,306124.2971704521,100,True,True,True,38574,2259.889631509781,306124.2971704521,25.777120000000004,0.92,1.0
