BIC - Goal,BIC,F1 Score,Accuracy,Precision,Recall,SHD,SLF,TLF
53551.7187118351,359463.66135478497,0.13333333333333333,0.8631578947368421,0.11428571428571428,0.16,52,0.16,0.28
45380.020412691054,351291.9630556409,0.14814814814814817,0.8789473684210526,0.13793103448275862,0.16,46,0.16,0.28
41076.18740127928,346988.13004422915,0.1818181818181818,0.881578947368421,0.16666666666666666,0.2,45,0.2,0.32
33911.709818529955,339823.6524614798,0.2545454545454545,0.8921052631578947,0.23333333333333334,0.28,41,0.28,0.4
31907.56958519842,337819.5122281483,0.30188679245283023,0.9026315789473685,0.2857142857142857,0.32,37,0.32,0.4
28243.70271293656,334155.64535588643,0.2456140350877193,0.8868421052631579,0.21875,0.28,43,0.28,0.4
22916.337283768633,328828.2799267185,0.26229508196721313,0.881578947368421,0.2222222222222222,0.32,45,0.32,0.44
20683.931208021357,326595.8738509712,0.3508771929824561,0.9026315789473685,0.3125,0.4,37,0.4,0.52
18771.404699209612,324683.3473421595,0.3157894736842105,0.8973684210526316,0.28125,0.36,39,0.36,0.52
16319.801530364668,322231.74417331454,0.33898305084745767,0.8973684210526316,0.29411764705882354,0.4,39,0.4,0.6
15104.18215336022,321016.1247963101,0.3571428571428571,0.9052631578947369,0.3225806451612903,0.4,36,0.4,0.6
13705.96806198184,319617.9107049317,0.3666666666666667,0.9,0.3142857142857143,0.44,38,0.44,0.64
12899.87282749539,318811.81547044526,0.36065573770491804,0.8973684210526316,0.3055555555555556,0.44,39,0.44,0.68
10763.226432100113,316675.16907505,0.33333333333333337,0.8842105263157894,0.2682926829268293,0.44,44,0.44,0.72
10165.298333959654,316077.2409769095,0.3666666666666667,0.9,0.3142857142857143,0.44,38,0.44,0.68
9519.769734542235,315431.7123774921,0.36065573770491804,0.8973684210526316,0.3055555555555556,0.44,39,0.44,0.72
9397.167936214246,315309.1105791641,0.3666666666666667,0.9,0.3142857142857143,0.44,38,0.44,0.72
9330.307347268448,315242.2499902183,0.3548387096774193,0.8947368421052632,0.2972972972972973,0.44,40,0.44,0.76
8081.52086280426,313993.46350575413,0.33333333333333337,0.8842105263157894,0.2682926829268293,0.44,44,0.44,0.76
7632.076380422339,313544.0190233722,0.34920634920634924,0.8921052631578947,0.2894736842105263,0.44,41,0.44,0.76
7507.683149588527,313419.6257925384,0.34920634920634924,0.8921052631578947,0.2894736842105263,0.44,41,0.44,0.76
7010.87246737245,312922.8151103223,0.36065573770491804,0.8973684210526316,0.3055555555555556,0.44,39,0.44,0.76
6609.825646604702,312521.7682895546,0.3728813559322034,0.9026315789473685,0.3235294117647059,0.44,37,0.44,0.76
6211.299958550604,312123.2426015005,0.3636363636363636,0.8894736842105263,0.2926829268292683,0.48,42,0.48,0.8
5408.079128171084,311320.02177112096,0.38095238095238093,0.8973684210526316,0.3157894736842105,0.48,39,0.48,0.8
3749.781498795608,309661.7241417455,0.41269841269841273,0.9026315789473685,0.34210526315789475,0.52,37,0.52,0.84
3685.4449596698396,309597.3876026197,0.40625000000000006,0.9,0.3333333333333333,0.52,38,0.52,0.84
3627.0162825414445,309538.9589254913,0.40625000000000006,0.9,0.3333333333333333,0.52,38,0.52,0.84
3405.319535437855,309317.2621783877,0.4193548387096775,0.9052631578947369,0.35135135135135137,0.52,36,0.52,0.84
3092.36075961811,309004.303402568,0.4516129032258065,0.9105263157894737,0.3783783783783784,0.56,34,0.56,0.88
3075.276135828928,308987.2187787788,0.45901639344262296,0.9131578947368421,0.3888888888888889,0.56,33,0.56,0.88
3029.984912450309,308941.9275554002,0.4516129032258065,0.9105263157894737,0.3783783783783784,0.56,34,0.56,0.88
2949.1234290042194,308861.0660719541,0.4666666666666667,0.9157894736842105,0.4,0.56,32,0.56,0.88
2890.7922910755733,308802.73493402544,0.4745762711864407,0.9184210526315789,0.4117647058823529,0.56,31,0.56,0.88
2716.5840027626837,308628.52664571255,0.4827586206896552,0.9210526315789473,0.42424242424242425,0.56,30,0.56,0.88
2687.770254676463,308599.71289762633,0.4912280701754386,0.9236842105263158,0.4375,0.56,29,0.56,0.88
2659.138930781046,308571.0815737309,0.4912280701754386,0.9236842105263158,0.4375,0.56,29,0.56,0.88
2616.7792783698533,308528.7219213197,0.5,0.9263157894736842,0.45161290322580644,0.56,28,0.56,0.88
2560.1853912778897,308472.12803422776,0.509090909090909,0.9289473684210526,0.4666666666666667,0.56,27,0.56,0.88
2501.7733491017716,308413.71599205164,0.4827586206896552,0.9210526315789473,0.42424242424242425,0.56,30,0.56,0.88
2501.7733491017716,308413.71599205164,0.4827586206896552,0.9210526315789473,0.42424242424242425,0.56,30,0.56,0.88
2417.9764862895245,308329.9191292394,0.5,0.9263157894736842,0.45161290322580644,0.56,28,0.56,0.88
2390.3219676509034,308302.2646106008,0.4912280701754386,0.9236842105263158,0.4375,0.56,29,0.56,0.92
2341.4020113336155,308253.3446542835,0.5172413793103449,0.9263157894736842,0.45454545454545453,0.6,28,0.6,0.92
2312.8414297446143,308224.7840726945,0.5263157894736842,0.9289473684210526,0.46875,0.6,27,0.6,0.92
2286.2647952631814,308198.20743821305,0.5357142857142857,0.9315789473684211,0.4838709677419355,0.6,26,0.6,0.92
2069.722051539109,307981.664694489,0.5172413793103449,0.9263157894736842,0.45454545454545453,0.6,28,0.6,0.96
2015.111456535873,307927.05409948574,0.5263157894736842,0.9289473684210526,0.46875,0.6,27,0.6,0.96
2015.111456535873,307927.05409948574,0.5263157894736842,0.9289473684210526,0.46875,0.6,27,0.6,0.96
2015.111456535873,307927.05409948574,0.5263157894736842,0.9289473684210526,0.46875,0.6,27,0.6,0.96
1985.5290720147314,307897.4717149646,0.5357142857142857,0.9315789473684211,0.4838709677419355,0.6,26,0.6,0.96
1985.5290720147314,307897.4717149646,0.5357142857142857,0.9315789473684211,0.4838709677419355,0.6,26,0.6,0.96
1985.5290720147314,307897.4717149646,0.5357142857142857,0.9315789473684211,0.4838709677419355,0.6,26,0.6,0.96
1985.5290720147314,307897.4717149646,0.5357142857142857,0.9315789473684211,0.4838709677419355,0.6,26,0.6,0.96
1921.192532888963,307833.13517583883,0.5263157894736842,0.9289473684210526,0.46875,0.6,27,0.6,0.96
1921.192532888963,307833.13517583883,0.5263157894736842,0.9289473684210526,0.46875,0.6,27,0.6,0.96
1908.1807069687638,307820.12334991863,0.5263157894736842,0.9289473684210526,0.46875,0.6,27,0.6,0.96
